infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tenga,tengas,tenga,tengamos,tengáis,tengan
comer,coma,comas,coma,comamos,comáis,coman
vivir,viva,vivas,viva,vivamos,viváis,vivan
estar,esté,estés,esté,estemos,estéis,estén
ser,sea,seas,sea,seamos,seáis,sean
ir,vaya,vayas,vaya,vayamos,vayáis,vayan
hacer,haga,hagas,haga,hagamos,hagáis,hagan
ver,vea,veas,vea,veamos,veáis,vean
poder,pueda,puedas,pueda,podamos,podáis,puedan
querer,quiera,quieras,quiera,queramos,queráis,quieran
dar,dé,des,dé,demos,deis,den
leer,lea,leas,lea,leamos,leáis,lean
venir,venga,vengas,venga,vengamos,vengáis,vengan
hablar,hable,hables,hable,hablemos,habléis,hablen
saber,sepa,sepas,sepa,sepamos,sepáis,sepan
poner,ponga,pongas,ponga,pongamos,pongáis,pongan
salir,salga,salgas,salga,salgamos,salgáis,salgan
dormir,duerma,duermas,duerma,durmamos,durmáis,duerman
volver,vuelva,vuelvas,vuelva,volvamos,volváis,vuelvan
jugar,juegue,juegues,juegue,juguemos,juguéis,jueguen
escribir,escriba,escribas,escriba,escribamos,escribáis,escriban
encontrar,encuentre,encuentres,encuentre,encontremos,encontréis,encuentren
llegar,llegue,llegues,llegue,lleguemos,lleguéis,lleguen
empezar,empiece,empieces,empiece,empecemos,empecéis,empiecen
tomar,tome,tomes,tome,tomemos,toméis,tomen
conocer,conozca,conozcas,conozca,conozcamos,conozcáis,conozcan
perder,pierda,pierdas,pierda,perdamos,perdáis,pierdan
