infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tendría,tendrías,tendría,tendríamos,tendríais,tendrían
comer,comería,comerías,comería,comeríamos,comeríais,comerían
vivir,viviría,vivirías,viviría,viviríamos,viviríais,vivirían
estar,estaría,estarías,estaría,estaríamos,estaríais,estarían
ser,sería,serías,sería,seríamos,seríais,serían
ir,iría,irías,iría,iríamos,iríais,irían
hacer,haría,harías,haría,haríamos,haríais,harían
ver,vería,verías,vería,veríamos,veríais,verían
poder,podría,podrías,podría,podríamos,podríais,podrían
querer,querría,querrías,querría,querríamos,querríais,querrían
dar,daría,darías,daría,daríamos,daríais,darían
leer,leería,leerías,leería,leeríamos,leeríais,leerían
venir,vendría,vendrías,vendría,vendríamos,vendríais,vendrían
hablar,hablaría,hablarías,hablaría,hablaríamos,hablaríais,hablarían
saber,sabría,sabrías,sabría,sabríamos,sabríais,sabrían
poner,pondría,pondrías,pondría,pondríamos,pondríais,pondrían
salir,saldría,saldrías,saldría,saldríamos,saldríais,saldrían
dormir,dormiría,dormirías,dormiría,dormiríamos,dormiríais,dormirían
volver,volvería,volverías,volvería,volveríamos,volveríais,volverían
jugar,jugaría,jugarías,jugaría,jugaríamos,jugaríais,jugarían
escribir,escribiría,escribirías,escribiría,escribiríamos,escribiríais,escribirían
encontrar,encontraría,encontrarías,encontraría,encontraríamos,encontraríais,encontrarían
llegar,llegaría,llegarías,llegaría,llegaríamos,llegaríais,llegarían
empezar,empezaría,empezarías,empezaría,empezaríamos,empezaríais,empezarían
tomar,tomaría,tomarías,tomaría,tomaríamos,tomaríais,tomarían
conocer,conocería,conocerías,conocería,conoceríamos,conoceríais,conocerían
perder,perdería,perderías,perdería,perderíamos,perderíais,perderían
gritar,gritaría,gritarías,gritaría,gritaríamos,gritaríais,gritarían
traer,traería,traerías,traería,traeríamos,traeríais,traerían
parecer,parecería,parecerías,parecería,pareceríamos,pareceríais,parecerían
preferir,preferiría,preferirías,preferiría,preferiríamos,preferiríais,preferirían
compartir,compartiría,compartirías,compartiría,compartiríamos,compartiríais,compartirían
estudiar,estudiaría,estudiarías,estudiaría,estudiaríamos,estudiaríais,estudiarían
corregir,corregiría,corregirías,corregiría,corregiríamos,corregiríais,corregirían
